Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD
Hidden Volcano,,B,73167,6,11580,8.5,56556,82.60%,56.30%,9941,57.00%,13244,54.40%,23185,55.50%,33213,56.80%,-1.2pp
Marauding Brinefang,U,C,85697,6.9,11537,9.93,25775,38.70%,51.80%,4414,50.10%,6456,51.60%,10870,51.00%,14716,52.30%,-1.3pp
Self-Reflection,U,U,33071,6.98,4723,9.78,6013,21.70%,52.40%,911,47.50%,1467,54.00%,2378,51.50%,3600,52.90%,-1.4pp
Adaptive Gemguard,W,C,76332,5.8,12881,7.97,48742,63.60%,55.70%,7961,53.60%,11956,55.60%,19917,54.80%,28554,56.20%,-1.4pp
Acolyte of Aclazotz,B,C,86952,7.36,10000,10.42,19656,34.80%,49.60%,3218,47.60%,5001,49.60%,8219,48.80%,11403,50.20%,-1.5pp
"Saheeli, the Sun's Brilliance",UR,M,1784,2.21,850,2.16,3312,67.40%,55.20%,600,55.00%,804,53.60%,1404,54.20%,1895,55.70%,-1.5pp
Ironpaw Aspirant,W,C,75928,5.62,16017,7.28,75235,77.90%,57.30%,13508,56.30%,17049,56.50%,30557,56.40%,44554,58.00%,-1.6pp
Enterprising Scallywag,R,U,21576,3.86,5432,4.73,25859,81.20%,55.50%,4598,56.40%,5655,53.10%,10253,54.50%,15501,56.10%,-1.6pp
Sunfire Torch,R,C,80059,6.14,17467,7.81,70729,67.50%,57.00%,11821,56.40%,15764,55.70%,27585,56.00%,42626,57.60%,-1.6pp
Rumbling Rockslide,R,C,68948,4.96,13164,6.74,58462,75.20%,55.80%,9261,53.50%,13773,55.60%,23034,54.80%,35261,56.40%,-1.7pp
Idol of the Deep King,R,C,70280,5.26,13720,7.05,57790,71.20%,56.10%,9780,53.60%,12941,56.10%,22721,55.00%,34656,56.70%,-1.7pp
Chart a Course,U,U,24674,4.55,6481,5.58,30494,78.90%,57.00%,5245,54.80%,7657,56.80%,12902,56.00%,17405,57.80%,-1.8pp
Goldfury Strider,R,U,31212,6.09,4936,8.3,12683,43.20%,55.10%,2017,52.90%,2926,54.70%,4943,54.00%,7660,55.80%,-1.8pp
Might of the Ancestors,W,U,30268,6.33,3626,9.19,6815,32.00%,55.70%,1126,53.40%,1577,55.50%,2703,54.60%,4102,56.40%,-1.8pp
Treasure Map,,R,2679,1.66,1645,1.63,8462,91.10%,53.80%,1549,50.40%,1984,54.50%,3533,52.70%,4861,54.60%,-1.9pp
Careening Mine Cart,,U,23402,3.97,6787,4.95,31744,79.40%,55.90%,5556,55.90%,7232,53.90%,12788,54.80%,18726,56.60%,-1.9pp
Attentive Sunscribe,W,C,80634,6.02,13795,8.26,56351,68.10%,57.00%,10066,57.00%,12460,54.80%,22526,55.80%,33587,57.70%,-1.9pp
Envoy of Okinec Ahau,W,C,82026,6.41,10486,9.33,27120,43.70%,54.20%,4589,52.60%,6503,53.30%,11092,53.00%,15977,54.90%,-1.9pp
Family Reunion,W,C,90860,8.22,9977,11.97,6100,10.30%,52.80%,926,53.20%,1354,50.40%,2280,51.60%,3818,53.50%,-2.0pp
Daring Discovery,R,C,91769,8.51,11186,12.02,8790,13.20%,54.20%,1295,53.10%,1930,52.80%,3225,52.90%,5554,54.90%,-2.0pp
Waterlogged Hulk,U,U,40679,7.28,6186,9.99,8842,24.50%,52.10%,1535,49.60%,2223,51.80%,3758,50.90%,4958,53.00%,-2.1pp
Growing Rites of Itlimoc,G,R,5398,3.26,740,4.2,1476,34.80%,49.70%,225,,358,,583,48.40%,891,50.50%,-2.1pp
Shipwreck Sentry,U,C,87857,7.59,15892,9.99,45198,47.40%,57.10%,7980,56.60%,10173,55.10%,18153,55.80%,26474,57.90%,-2.2pp
Glowcap Lantern,G,U,28802,5.78,3140,8.47,7005,38.70%,51.40%,1151,51.20%,1692,49.20%,2843,50.00%,4149,52.30%,-2.2pp
"Matzalantli, the Great Door",,R,4940,3.01,885,3.52,2350,46.60%,50.80%,390,,581,49.70%,971,49.30%,1365,51.60%,-2.3pp
Burning Sun Cavalry,R,C,83093,6.69,11588,9.34,34477,50.30%,56.00%,6068,56.10%,7391,53.30%,13459,54.60%,20965,56.90%,-2.4pp
Glimpse the Core,G,U,28749,5.59,3305,7.98,8948,47.00%,53.10%,1572,54.30%,1930,49.50%,3502,51.70%,5436,54.10%,-2.4pp
Malamet Brawler,G,C,87954,7.44,9349,10.67,19450,36.10%,53.70%,3370,52.40%,3999,52.10%,7369,52.20%,12030,54.70%,-2.5pp
Grasping Shadows,B,U,30300,4.74,4878,6.31,15977,57.80%,51.10%,2614,46.60%,4124,51.50%,6738,49.60%,9172,52.10%,-2.5pp
Glorifier of Suffering,W,C,76004,5.75,12409,7.92,43698,60.30%,54.30%,7159,51.60%,10601,53.40%,17760,52.70%,25859,55.40%,-2.7pp
Buried Treasure,,C,90073,7.28,9744,10.66,13136,23.20%,50.40%,2350,47.70%,3008,49.70%,5358,48.90%,7725,51.50%,-2.7pp
Basking Capybara,G,C,87304,7.22,8855,10.51,18342,36.00%,51.90%,3207,51.20%,4147,49.50%,7354,50.20%,10876,53.00%,-2.7pp
Cartographer's Companion,,C,86732,6.53,14432,9.04,42381,50.00%,54.90%,7307,51.60%,9924,54.30%,17231,53.20%,24817,56.00%,-2.8pp
Child of the Volcano,R,C,88792,7.48,9910,11.01,11506,20.10%,50.20%,1851,47.50%,2751,49.00%,4602,48.40%,6884,51.30%,-2.9pp
Mischievous Pup,W,U,25336,4.62,5830,5.81,25156,73.00%,55.20%,4325,50.90%,6017,55.20%,10342,53.40%,14748,56.40%,-3.0pp
Curator of Sun's Creation,R,U,27782,5.5,3910,7.6,7804,34.30%,52.60%,1268,50.70%,1751,50.80%,3019,50.70%,4763,53.90%,-3.1pp
Swashbuckler's Whip,,U,35303,7.47,3948,10.99,2449,10.50%,51.70%,395,,581,50.40%,976,49.70%,1452,52.80%,-3.1pp
Kaslem's Stonetree,G,C,84862,7.58,8028,11.25,9839,21.30%,50.40%,1715,48.50%,2275,48.40%,3990,48.40%,5798,51.60%,-3.2pp
Brazen Blademaster,R,C,84883,6.9,12811,9.52,35857,47.30%,54.70%,6044,52.00%,7818,53.10%,13862,52.60%,21728,55.90%,-3.3pp
Hotfoot Gnome,R,C,88142,7.34,11433,10.46,20929,30.90%,53.80%,3498,50.40%,4711,52.70%,8209,51.70%,12613,55.00%,-3.3pp
Thousand Moons Crackshot,W,C,90008,7.73,11128,10.95,15569,23.50%,54.50%,2736,52.10%,3376,52.80%,6112,52.50%,9443,55.80%,-3.3pp
Abuelo's Awakening,W,R,6905,4.16,1242,5.38,2616,35.30%,52.80%,386,,638,53.30%,1024,50.80%,1587,54.20%,-3.4pp
Disruptor Wanderglyph,,C,93835,8.55,9429,12.4,3776,6.90%,50.30%,566,50.00%,871,46.80%,1437,48.10%,2313,51.60%,-3.5pp
Disturbed Slumber,G,C,92462,8.91,8422,13.05,2279,4.70%,49.20%,389,,504,50.20%,893,47.00%,1382,50.70%,-3.6pp
Pirate Hat,U,C,91004,8.43,14332,11.31,21617,25.20%,57.10%,3503,55.30%,4889,54.40%,8392,54.80%,12876,58.40%,-3.6pp
Bloodthorn Flail,B,U,35000,7.64,4047,11.06,3508,15.00%,49.60%,642,43.60%,857,50.20%,1499,47.40%,2004,51.20%,-3.9pp
Deeproot Pilgrimage,U,R,6789,4.36,1233,5.36,1498,21.10%,51.90%,286,,378,,664,49.70%,829,53.70%,-4.0pp
Get Lost,W,R,4052,2.45,1113,2.6,4527,70.00%,53.70%,730,48.40%,1107,53.20%,1837,51.30%,2673,55.30%,-4.0pp
Relic's Roar,U,C,94182,9.3,12489,12.69,4830,6.50%,54.70%,721,50.20%,1142,53.20%,1863,52.10%,2955,56.30%,-4.2pp
Dowsing Device,R,U,35750,5.76,6099,7.68,17617,49.20%,55.00%,2968,52.10%,3800,52.50%,6768,52.30%,10660,56.70%,-4.3pp
Zoyowa's Justice,R,U,34835,7.82,3941,11.47,1696,7.30%,46.90%,272,,415,,687,43.50%,1005,49.40%,-5.8pp
Fabrication Foundry,W,R,9429,5.5,1338,7.97,113,,,16,,30,,46,,65,,
The Enigma Jewel,U,M,3362,3.96,470,5.48,290,10.80%,,54,,65,,119,,169,,
Hit the Mother Lode,R,R,8879,5.13,1073,7.97,481,7.70%,,73,,120,,193,,287,,
Tectonic Hazard,R,C,93337,9.19,9849,13.21,1199,2.10%,48.00%,171,,313,,484,,714,48.20%,
Contested Game Ball,,U,37578,8.72,4062,12.53,412,1.70%,,63,,96,,159,,253,,
The Millennium Calendar,,M,2792,3.46,490,3.91,873,32.70%,46.20%,167,,211,,378,,487,,
Sorcerous Spyglass,,U,37306,8.72,4034,12.58,62,0.30%,,13,,15,,28,,34,,
Cavern of Souls,,M,2237,2.67,410,3.19,846,34.90%,50.90%,134,,214,,348,,490,,
